ID RH,Nome Completo,Estado Civil,Sexo,Data de Nascimento,Endereço,Data de Contratacao,Data de Demissao,Salario Base,Impostos,Beneficios,VT,VR,Cargo,Nível,Área,Ferias Acumuladas,Horas Extras,Imagem,Avaliação do Funcionário,Trabalho em Equipe,Liderança,Comunicação,Iniciativa,Organização
113,Aline Santos Silva,C,F,8/17/1981,"Av. Barão Homem de Melo, 1389 - Nova Granada, Belo Horizonte - MG, 30431-425",2/15/2015,,8816,"269,4","404,1","673,5","808,2",COII,Analista,Comercial,23,64,https://cdn.pixabay.com/photo/2016/03/13/20/49/woman-1254453_960_720.jpg,"8,4",7,10,7,9,9
291,Amanda de Lacerda,S,F,11/23/1992,"Rua Antônio Lumack do Monte, 203 - 1 - Boa Viagem, Recife - PE, 51020-350",8/15/2012,,5694,"71,06","142,12","355,3","426,36",OPII,Analista,Operações,56,43,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQzHpMkHBiis1CfSJ-ZcyPqEPdd0hEAZ74zmr5MUC1tPV6v3w85&usqp=CAU,"8,8",7,9,8,10,10
95,Amanda Ferreira,C,F,6/28/1999,"R. Teodoro Sampaio, 954 - Pinheiros, São Paulo - SP, 05406-050",6/23/2017,,11838,"286,32","381,76","954,4","1145,28",OPIII,Coordenador,Operações,16,124,https://img.freepik.com/fotos-gratis/mulher-de-negocios-elegante-que-prende-uma-prancheta_1098-3344.jpg?size=338&ext=jpg,"9,4",10,8,9,10,10
425,Amanda Marinho,S,F,2/22/1983,"Av. Goiás Norte, 3.592 - quadra 2.1 - St. Mal. Rondon, Goiânia - GO, 74063-010",9/17/2010,,1931,"173,79","77,24","193,1","231,72",COI,Estagiário,Comercial,40,158,https://cdn.pixabay.com/photo/2017/09/16/17/42/business-woman-2756210_960_720.jpg,"9,4",10,10,8,9,10
3,Amanda Marques Ribeiro,C,F,1/7/1990,"Av. Dom Luís, 500 - Aldeota, Fortaleza - CE, 60160-230",1/3/2008,,1149,"68,94","34,47","114,9","137,88",ADI,Estagiário,Administrativo,60,188,https://img.freepik.com/fotos-gratis/mulher-de-negocios-com-vidros-e-os-bracos-cruzados_1098-3347.jpg?size=626&ext=jpg,8,10,8,3,10,9
217,Amanda Pessanha,S,F,4/29/1989,"R. Dr. Antônio Castro Prado, 422 - Vila Rossi e Borchi, Campinas - SP, 13076-130",4/19/2014,,1113,"55,65","122,43","111,3","133,56",FII,Estagiário,Financeiro,53,63,https://hrreview.co.uk/wp-content/uploads/shutterstock_73535212.jpg,"9,6",10,8,10,10,10
158,Amanda Rodrigues,S,F,5/18/1984,"R. Dr. Antônio Castro Prado, 422 - Vila Rossi e Borchi, Campinas - SP, 13076-130",7/8/2010,,8334,"187,65","813,15","625,5","750,6",LOII,Analista,Logística,37,59,https://us.123rf.com/450wm/michaeljung/michaeljung1504/michaeljung150400348/38371549-attractive-black-business-executive-with-arms-crossed.jpg?ver=6,"8,6",10,5,8,10,10
240,Ana Alvarenga dos Santos,C,F,5/26/1991,"Shopping Barra - Av. Centenário, 2992 - Barra, Salvador - BA, 40155-150",5/21/2009,,5656,"95,37","222,53","317,9","381,48",OPII,Analista,Operações,51,168,,"7,4",0,10,8,9,10
435,Ana Barbosa,S,F,6/6/1985,"Av. Goiás Norte, 3.592 - quadra 2.1 - St. Mal. Rondon, Goiânia - GO, 74063-010",6/2/2003,11/19/2004,1920,"134,4","249,6",192,"230,4",ADI,Estagiário,Administrativo,32,17,,"8,4",8,10,8,10,6
405,Ana Bernardo,S,F,9/4/1980,"Rua Quinze de Novembro, 8 - Loja 301a Loja 301b - Centro, Niterói - RJ, 24020-125",12/24/2014,,827,"49,62","99,24","82,7","99,24",COI,Estagiário,Comercial,19,140,,"7,2",4,6,7,9,10
209,Ana de Almeida Fournier de Assis,S,F,1/28/1998,"Av. Goiás Norte, 3.592 - quadra 2.1 - St. Mal. Rondon, Goiânia - GO, 74063-010",1/24/2016,,10378,"244,56","1141,28","815,2","978,24",COIII,Coordenador,Comercial,35,143,,"8,2",10,8,3,10,10
334,Ana de Sá Foly,S,F,12/15/1998,"Av. Borges de Medeiros, 3120 - Praia de Belas, Porto Alegre - RS, 90110-150",12/10/2016,,1107,"66,42","44,28","110,7","132,84",ADI,Estagiário,Administrativo,8,1,,"7,4",5,5,7,10,10
448,Ana Fernandes Filardi,S,F,10/26/1975,"Rua Antônio Lumack do Monte, 203 - 1 - Boa Viagem, Recife - PE, 51020-350",8/17/2012,,16700,"1395,8","837,48","1395,8","1674,96",LOIV,Gerente,Logística,11,28,,9,10,8,7,10,10
354,Ana Ladogano,S,F,10/20/1972,"R. Visc. de Pirajá, 136 - Ipanema, Rio de Janeiro - RJ, 22410-000",12/21/2009,,14367,"372,42","496,56","1241,4","1489,68",OPIV,Gerente,Operações,43,166,,"7,6",8,9,7,5,9
375,Ana Sabino de Azevedo Duarte silva,C,F,12/28/1980,"Av. Barão Homem de Melo, 1389 - Nova Granada, Belo Horizonte - MG, 30431-425",10/14/2009,,12175,"723,66","310,14","1033,8","1240,56",COIII,Coordenador,Comercial,59,48,,"7,8",8,10,2,10,9
237,Ananda Garcia Soares,C,F,8/17/1979,"Av. Barão Homem de Melo, 1389 - Nova Granada, Belo Horizonte - MG, 30431-425",7/23/2014,,1386,"69,3","166,32","138,6","166,32",ADI,Estagiário,Administrativo,44,45,,"8,2",8,5,8,10,10
363,Anderson Dias Sampaio,C,M,2/2/1981,"R. Brasílio Itiberê, 3279 - Água Verde, Curitiba - PR, 80250-160",7/30/2001,,7650,"407,16","407,16","678,6","814,32",COII,Analista,Comercial,20,45,,"9,4",10,10,8,10,9
10,Andre Campos,S,M,7/1/1989,"R. Teodoro Sampaio, 954 - Pinheiros, São Paulo - SP, 05406-050",2/25/2013,,10746,"486,55","1070,41","973,1","1167,72",ADIII,Coordenador,Administrativo,21,164,,"8,8",7,8,9,10,10
469,André dos Santos Pereira Brito,S,M,3/30/1992,"Av. Borges de Medeiros, 3120 - Praia de Belas, Porto Alegre - RS, 90110-150",12/25/2015,,850,51,"127,5",85,102,OPI,Estagiário,Operações,0,196,,"8,4",10,8,4,10,10
147,Andre Junior,S,M,2/15/1986,"Av. Dom Luís, 500 - Aldeota, Fortaleza - CE, 60160-230",3/3/2006,3/17/2008,1552,"31,04","46,56","155,2","186,24",ADI,Estagiário,Administrativo,60,72,,"7,2",1,7,8,10,10
11,André Melo Soledade,S,M,8/17/1972,"R. Teodoro Sampaio, 954 - Pinheiros, São Paulo - SP, 05406-050",6/13/2007,,3890,"240,16","330,22","300,2","360,24",ADII,Analista,Administrativo,6,191,,"8,4",10,8,4,10,10
287,Andre Ribeiro da Costa,S,M,5/1/1998,"Av. Goiás Norte, 3.592 - quadra 2.1 - St. Mal. Rondon, Goiânia - GO, 74063-010",4/26/2016,,1279,"63,95","102,32","127,9","153,48",FII,Estagiário,Financeiro,30,145,,"9,4",8,10,9,10,10
286,Andressa Queiroz Israel,S,F,10/21/1980,"R. Brasílio Itiberê, 3279 - Água Verde, Curitiba - PR, 80250-160",6/27/2017,,6441,"480,8","384,64","480,8","576,96",LOII,Analista,Logística,40,69,,"8,8",8,8,9,9,10
151,Ângelo Gois,S,M,9/8/1975,"R. Teodoro Sampaio, 954 - Pinheiros, São Paulo - SP, 05406-050",4/20/2009,,1549,"30,98","92,94","154,9","185,88",FII,Estagiário,Financeiro,9,174,,"5,4",2,1,5,10,9
145,Arnôr Penedo,S,M,2/24/1996,"Av. Mal. Floriano Peixoto, 2248-2258 - Centro, Nova Iguaçu - RJ, 26210-000",2/19/2014,,7761,"340,05","408,06","680,1","816,12",COII,Analista,Comercial,31,94,,"8,6",10,8,10,5,10
537,Arthur Bispo,S,M,7/20/1993,"Rua Antônio Lumack do Monte, 203 - 1 - Boa Viagem, Recife - PE, 51020-350",7/16/2011,,6583,"387,52","435,96","484,4","581,28",COII,Analista,Comercial,35,4,,"8,8",8,8,8,10,10
271,Arthur Gonçalo Cavalcanti,C,M,6/24/1971,"R. Brasílio Itiberê, 3279 - Água Verde, Curitiba - PR, 80250-160",2/1/2002,,6843,"488,7","597,3",543,"651,6",ADII,Analista,Administrativo,28,109,,"8,2",6,8,7,10,10
457,Arthur Gonzalez Assef Miranda,C,M,9/29/1983,"Shopping Barra - Av. Centenário, 2992 - Barra, Salvador - BA, 40155-150",4/19/2005,,825,"41,25","74,25","82,5",99,FII,Estagiário,Financeiro,23,50,,"8,2",7,8,7,10,9
371,Arthur Vaz,C,M,7/19/1997,"Shopping Barra - Av. Centenário, 2992 - Barra, Salvador - BA, 40155-150",2/2/2017,,13982,"254,6","763,8",1273,"1527,6",FIIV,Gerente,Financeiro,54,15,,"7,2",6,8,2,10,10
316,Ary da Silva Costa,S,M,12/27/1986,"Av. Borges de Medeiros, 3120 - Praia de Belas, Porto Alegre - RS, 90110-150",12/22/2004,11/6/2005,1961,"156,88","254,93","196,1","235,32",LOI,Estagiário,Logística,53,190,,8,7,8,10,10,5
218,Átila Aquino de Carvalho,S,M,1/11/1970,"R. Dr. Antônio Castro Prado, 422 - Vila Rossi e Borchi, Campinas - SP, 13076-130",9/29/2000,,11282,"775,68","581,76","969,6","1163,52",COIII,Coordenador,Comercial,52,107,,"7,8",6,5,10,9,9
74,Átila Godoy de Melo,S,M,2/10/1985,"R. Luíz Faccini, 212 - Centro, Guarulhos - SP, 07110-000",2/23/2012,,834,"50,04","108,42","83,4","100,08",FII,Estagiário,Financeiro,3,12,,"7,2",6,8,3,9,10
6,Audir de Avila Goulart,C,M,5/19/1999,"Av. Dom Luís, 500 - Aldeota, Fortaleza - CE, 60160-230",6/12/2017,,7324,"257,12","899,92","642,8","771,36",OPII,Analista,Operações,27,55,,"9,2",10,10,7,10,9
343,Audir Muniz,S,M,2/1/1988,"Av. Goiás Norte, 3.592 - quadra 2.1 - St. Mal. Rondon, Goiânia - GO, 74063-010",1/27/2006,,13661,"1174,95","1566,6","1305,5","1566,6",LOIV,Gerente,Logística,51,189,,"8,4",7,9,10,10,6
499,Bárbara Gonçalves ,C,F,9/19/1992,"R. Dr. Antônio Castro Prado, 422 - Vila Rossi e Borchi, Campinas - SP, 13076-130",9/15/2010,,1091,"32,73","76,37","109,1","130,92",COI,Estagiário,Comercial,19,1,,"8,6",10,10,8,10,5
370,Bárbara Rodrigues,S,F,3/14/1999,"R. Luíz Faccini, 212 - Centro, Guarulhos - SP, 07110-000",3/9/2017,,11589,"863,73","1343,58","959,7","1151,64",FIIII,Coordenador,Financeiro,26,103,,8,10,10,8,2,10
23,Bárbara Spenchutt Vieira,S,F,9/30/1997,"R. Brasílio Itiberê, 3279 - Água Verde, Curitiba - PR, 80250-160",6/20/2017,,1795,"179,5","53,85","179,5","215,4",ADI,Estagiário,Administrativo,46,196,,9,8,10,7,10,10
455,Beatriz Barrozo,S,F,5/18/1988,"R. Brasílio Itiberê, 3279 - Água Verde, Curitiba - PR, 80250-160",2/4/2014,,5279,"154,5","247,2",309,"370,8",COII,Analista,Comercial,58,38,,"8,8",7,9,8,10,10
486,Beatriz de Lima Oliveira,S,F,10/25/1983,"R. Visc. de Pirajá, 136 - Ipanema, Rio de Janeiro - RJ, 22410-000",10/20/2001,,4618,"203,4","271,2",339,"406,8",COII,Analista,Comercial,36,2,,"8,8",7,9,9,9,10
288,Beatriz Machado Araujo,C,F,7/13/1985,"Av. Goiás Norte, 3.592 - quadra 2.1 - St. Mal. Rondon, Goiânia - GO, 74063-010",11/1/2010,,1297,"90,79","181,58","129,7","155,64",ADI,Estagiário,Administrativo,26,75,,"8,8",7,8,9,10,10
42,Beatriz Rodrigues,S,F,2/2/1987,"Av. Dom Luís, 500 - Aldeota, Fortaleza - CE, 60160-230",1/28/2005,6/27/2008,8166,"107,96","377,86","539,8","647,76",ADII,Analista,Administrativo,25,25,,"8,6",6,10,8,9,10
516,Beatriz Virginio,C,F,1/27/1981,"Av. Borges de Medeiros, 3120 - Praia de Belas, Porto Alegre - RS, 90110-150",1/23/2001,3/14/2004,10420,"163,16","571,06","815,8","978,96",COIII,Coordenador,Comercial,3,62,,"8,4",6,8,9,10,9
192,Bernard Mello,S,M,10/16/1993,"R. Luíz Faccini, 212 - Centro, Guarulhos - SP, 07110-000",10/12/2011,,16080,"1141,6","1997,8",1427,"1712,4",COIV,Gerente,Comercial,19,177,,"8,2",7,8,7,9,10
535,Bernardo da cunha ,C,M,6/28/1979,"R. Visc. de Pirajá, 136 - Ipanema, Rio de Janeiro - RJ, 22410-000",3/15/2002,,7059,"318,3","954,9","636,6","763,92",LOII,Analista,Logística,57,88,,"8,2",10,8,3,10,10
374,Bernardo de Lima Oliveira,S,M,7/7/1995,"Av. Mal. Floriano Peixoto, 2248-2258 - Centro, Nova Iguaçu - RJ, 26210-000",10/16/2014,,9553,"588,56","840,8","840,8","1008,96",OPIII,Coordenador,Operações,38,153,,"7,6",8,8,2,10,10
307,Bernardo Essaber,S,M,8/31/1971,"Av. Goiás Norte, 3.592 - quadra 2.1 - St. Mal. Rondon, Goiânia - GO, 74063-010",1/17/2002,,8154,"679,9","815,88","679,9","815,88",OPII,Analista,Operações,10,170,,"8,8",8,9,8,10,9
533,Bernardo Magno,C,M,3/22/1985,"Rua Antônio Lumack do Monte, 203 - 1 - Boa Viagem, Recife - PE, 51020-350",12/3/2005,,1509,"150,9","105,63","150,9","181,08",ADI,Estagiário,Administrativo,41,174,,9,7,10,8,10,10
523,Bernardo Silva,C,M,6/17/1982,"Rua Quinze de Novembro, 8 - Loja 301a Loja 301b - Centro, Niterói - RJ, 24020-125",12/15/2013,,5233,"304,5","652,5",435,522,OPII,Analista,Operações,34,3,,"6,8",3,8,3,10,10
396,Bianca Aguiar,S,F,4/13/1987,"R. Visc. de Pirajá, 136 - Ipanema, Rio de Janeiro - RJ, 22410-000",3/5/2016,,6979,"213,76","427,52","534,4","641,28",ADII,Analista,Administrativo,46,53,,"8,4",7,8,9,9,9
506,Bianca Lemos,C,F,4/25/1983,"R. Luíz Faccini, 212 - Centro, Guarulhos - SP, 07110-000",4/20/2001,,7303,"334,14","668,28","556,9","668,28",ADII,Analista,Administrativo,8,188,,"8,6",5,10,8,10,10
98,Brenda Lopes,C,F,3/25/1974,"R. Teodoro Sampaio, 954 - Pinheiros, São Paulo - SP, 05406-050",12/28/2010,,15305,"264,22","1056,88","1321,1","1585,32",COIV,Gerente,Comercial,39,195,,"9,4",10,7,10,10,10
168,Brenno Ayello Leite,S,M,11/20/1970,"Av. Barão Homem de Melo, 1389 - Nova Granada, Belo Horizonte - MG, 30431-425",5/3/2009,,10388,"877,68","487,6","975,2","1170,24",COIII,Coordenador,Comercial,34,199,,7,8,4,8,9,6
527,Brenno Silva,S,M,8/23/1983,"Rua Antônio Lumack do Monte, 203 - 1 - Boa Viagem, Recife - PE, 51020-350",8/18/2001,,7040,"349,5","291,25","582,5",699,OPII,Analista,Operações,39,50,https://www.rizobacter.com.br/imagens/representante-rizobacter.png,"8,6",7,8,8,10,10
475,Breno Franklin da Silva,C,M,1/24/1988,"Av. Barão Homem de Melo, 1389 - Nova Granada, Belo Horizonte - MG, 30431-425",5/27/2013,,7969,"136,34","886,21","681,7","818,04",LOII,Analista,Logística,57,50,,"8,2",7,8,6,10,10
109,Bruna Calmon,C,F,1/19/1972,"R. Visc. de Pirajá, 136 - Ipanema, Rio de Janeiro - RJ, 22410-000",8/18/2001,,16340,"701,8","1263,24","1403,6","1684,32",LOIV,Gerente,Logística,0,41,,"8,6",7,10,6,10,10
164,Bruna da Cruz Barcelos,C,F,9/21/1975,"Shopping Barra - Av. Centenário, 2992 - Barra, Salvador - BA, 40155-150",8/20/2003,4/10/2011,1183,"118,3","35,49","118,3","141,96",FII,Estagiário,Financeiro,11,99,,"9,2",8,8,10,10,10
258,Bruna Ferreira,C,F,2/9/1998,"Av. Borges de Medeiros, 3120 - Praia de Belas, Porto Alegre - RS, 90110-150",2/5/2016,,12307,"693,91","1189,56","991,3","1189,56",OPIII,Coordenador,Operações,35,78,,7,7,10,8,1,9
290,Bruna Jimenez Jimbo,C,F,9/23/1994,"R. Dr. Antônio Castro Prado, 422 - Vila Rossi e Borchi, Campinas - SP, 13076-130",9/18/2012,,14223,"362,79","1330,23","1209,3","1451,16",ADIV,Gerente,Administrativo,14,29,,9,7,10,8,10,10
321,Bruna Mello Varela,S,F,8/4/1989,"Av. Dom Luís, 500 - Aldeota, Fortaleza - CE, 60160-230",4/27/2014,,11007,"181,32","1178,58","906,6","1087,92",FIIII,Coordenador,Financeiro,14,22,,"7,8",7,10,7,5,10
510,Bruna Rocha de Carvalho,S,F,5/28/1999,"Shopping Barra - Av. Centenário, 2992 - Barra, Salvador - BA, 40155-150",5/23/2017,,1685,"84,25","235,9","168,5","202,2",COI,Estagiário,Comercial,45,131,,"6,6",6,8,8,5,6
472,Bruna Santos Oliveira,S,F,11/6/1974,"Av. Mal. Floriano Peixoto, 2248-2258 - Centro, Nova Iguaçu - RJ, 26210-000",10/12/2010,6/10/2012,5755,"74,84","187,1","374,2","449,04",COII,Analista,Comercial,35,30,,"8,6",6,10,7,10,10
188,Bruna Serva,S,F,10/17/1978,"Av. Borges de Medeiros, 3120 - Praia de Belas, Porto Alegre - RS, 90110-150",10/29/2002,,11304,"185,1","1018,05","925,5","1110,6",FIIII,Coordenador,Financeiro,34,66,,"6,4",8,6,3,9,6
90,Bruna Tavares Vasconcelos,S,F,9/29/1980,"R. Visc. de Pirajá, 136 - Ipanema, Rio de Janeiro - RJ, 22410-000",8/26/2017,,812,"40,6","121,8","81,2","97,44",ADI,Estagiário,Administrativo,39,103,,"8,4",8,8,7,10,9
116,Bruno Cunha Felippe,C,M,9/26/1998,"R. Dr. Antônio Castro Prado, 422 - Vila Rossi e Borchi, Campinas - SP, 13076-130",9/21/2016,,8258,"193,2","708,4",644,"772,8",LOII,Analista,Logística,58,34,,9,10,8,8,10,9
233,Bruno de Almeida Silva,S,M,1/11/1972,"R. Brasílio Itiberê, 3279 - Água Verde, Curitiba - PR, 80250-160",1/14/2009,,6628,"109,76","329,28","548,8","658,56",OPII,Analista,Operações,21,113,,"7,8",6,10,3,10,10
77,Bruno de Souza,S,M,11/13/1973,"R. Luíz Faccini, 212 - Centro, Guarulhos - SP, 07110-000",3/1/2013,,6834,"101,78","458,01","508,9","610,68",ADII,Analista,Administrativo,19,9,,"6,4",7,7,3,5,10
276,Bruno Jorge Montanholi,S,M,8/17/1975,"R. Dr. Antônio Castro Prado, 422 - Vila Rossi e Borchi, Campinas - SP, 13076-130",8/21/2004,,9543,"423,45","1100,97","846,9","1016,28",COIII,Coordenador,Comercial,3,85,,"8,6",7,8,8,10,10
512,Bruno Paes Leme,S,M,9/14/1983,"R. Luíz Faccini, 212 - Centro, Guarulhos - SP, 07110-000",9/4/2014,,6218,"149,1","745,5",497,"596,4",FIII,Analista,Financeiro,29,94,,6,7,8,4,9,2
349,Bruno Sobrinho Pereira,S,M,5/7/1975,"R. Teodoro Sampaio, 954 - Pinheiros, São Paulo - SP, 05406-050",8/19/2004,6/9/2007,15836,1332,444,1480,1776,LOIV,Gerente,Logística,13,104,,"8,8",8,10,6,10,10
22,Bruno Vargas,S,M,3/15/1987,"R. Brasílio Itiberê, 3279 - Água Verde, Curitiba - PR, 80250-160",3/13/2013,,14147,"1150,65","1789,9","1278,5","1534,2",COIV,Gerente,Comercial,7,2,,"8,6",6,10,8,10,9
273,Caio Lassaval Farias,S,M,1/31/1985,"Av. Goiás Norte, 3.592 - quadra 2.1 - St. Mal. Rondon, Goiânia - GO, 74063-010",6/16/2004,,1237,"24,74","86,59","123,7","148,44",LOI,Estagiário,Logística,4,164,,9,7,8,10,10,10
179,Caio Oliveira Meirelles,C,M,2/7/1974,"Shopping Barra - Av. Centenário, 2992 - Barra, Salvador - BA, 40155-150",10/20/2005,,10353,"184,68","1015,74","923,4","1108,08",LOIII,Coordenador,Logística,20,31,,"6,8",4,8,3,10,9
15,Caio Scalabrin,C,M,6/7/1970,"Av. Barão Homem de Melo, 1389 - Nova Granada, Belo Horizonte - MG, 30431-425",8/17/2001,6/14/2008,10280,"184,44","1291,08","922,2","1106,64",ADIII,Coordenador,Administrativo,25,77,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcR86slGbfttvC2uYD4uuCm_8vgAMDboltTlD5FKq-cahDl_XLYu&usqp=CAU,8,10,9,2,10,9
148,Caio Stellet,S,M,2/7/1991,"R. Dr. Antônio Castro Prado, 422 - Vila Rossi e Borchi, Campinas - SP, 13076-130",9/22/2011,,5210,"244,3","314,1",349,"418,8",ADII,Analista,Administrativo,21,199,,"9,6",10,10,8,10,10
308,Camila Fonseca Martinez,S,F,6/3/1997,"Av. Mal. Floriano Peixoto, 2248-2258 - Centro, Nova Iguaçu - RJ, 26210-000",5/30/2015,,2052,"164,16","143,64","205,2","246,24",COI,Estagiário,Comercial,18,119,,8,10,8,8,5,9
324,Camila Regis Ivo,S,F,7/1/1992,"R. Teodoro Sampaio, 954 - Pinheiros, São Paulo - SP, 05406-050",1/18/2016,,1599,"47,97","47,97","159,9","191,88",FII,Estagiário,Financeiro,28,94,,"9,8",10,10,9,10,10
412,Camilla Ferraz,C,F,7/3/1992,"Rua Antônio Lumack do Monte, 203 - 1 - Boa Viagem, Recife - PE, 51020-350",6/8/2011,4/13/2013,8167,"392,64","588,96","654,4","785,28",LOII,Analista,Logística,27,170,,"7,4",7,9,7,10,4
67,Carla Amiccuci Areias,C,F,5/5/1986,"R. Brasílio Itiberê, 3279 - Água Verde, Curitiba - PR, 80250-160",4/30/2004,,12360,"299,34","598,68","997,8","1197,36",FIIII,Coordenador,Financeiro,35,91,,9,8,10,8,10,9
392,Carlos Amorim,C,M,2/7/1981,"R. Brasílio Itiberê, 3279 - Água Verde, Curitiba - PR, 80250-160",10/5/2013,,1844,"165,96","258,16","184,4","221,28",ADI,Estagiário,Administrativo,29,167,,"8,6",8,8,8,10,9
154,Carlos Mota,C,M,7/16/1983,"R. Dr. Antônio Castro Prado, 422 - Vila Rossi e Borchi, Campinas - SP, 13076-130",9/27/2000,,5593,"47,79","127,44","159,3","191,16",COII,Analista,Comercial,11,82,https://img.freepik.com/fotos-gratis/homem-que-sorri-com-os-bracos-cruzados_1187-2903.jpg?size=338&ext=jpg,"8,4",8,9,7,9,9
270,Carlos Santos Matta,C,M,2/17/1984,"Av. Dom Luís, 500 - Aldeota, Fortaleza - CE, 60160-230",2/12/2002,,7013,"499,44","936,45","624,3","749,16",FIII,Analista,Financeiro,51,34,,"8,4",10,10,8,4,10
417,Carolina Araujo Sagrillo,C,F,12/11/1995,"R. Brasílio Itiberê, 3279 - Água Verde, Curitiba - PR, 80250-160",12/6/2013,,6800,"353,43","196,35","392,7","471,24",OPII,Analista,Operações,2,186,,"8,8",7,9,8,10,10
500,Carolina Calafate,C,F,1/18/1993,"R. Brasílio Itiberê, 3279 - Água Verde, Curitiba - PR, 80250-160",1/14/2011,3/3/2017,5763,"104,82","384,34","349,4","419,28",LOII,Analista,Logística,51,166,,"9,6",10,10,10,9,9
152,Carolina Croix Barros,C,F,12/11/1981,"R. Dr. Antônio Castro Prado, 422 - Vila Rossi e Borchi, Campinas - SP, 13076-130",7/19/2017,,10628,"348,36","609,63","870,9","1045,08",OPIII,Coordenador,Operações,51,6,,"8,2",6,10,6,10,9
